01,47,02,48,03,49,04,50,05,51,06,52,07,53,08,54,09,55,10,56,11,57,12,58,13,60,14,61,15,62,16,63,17,64,18,65,19,66,20,67,21,68,22,69,23,7-,24,70,25,71,26,72,27,73,28,74,29,75,3A,76,3C,77,3E,78,3G,79,3J,80,3L,81,3N,82,36,83,37,84,38,85,39,86,40,87,41,88,42,89,43,90,44,91,45,93,46,94
0.4239,0.5549,0.4364,0.6579,0.3299,0.4709,0.5742,0.4655,0.1635,0.331,0.62,0.3822,0.1943,0.6827,0.4463,0.6488,0.6028,0.4828,0.7346,0.6255,0.5433,0.4674,0.4406,0.6049,0.3096,0.499,0.5371,0.5692,0.5502,0.4,0.298,0.5152,0.734,0.7035,0.6084,0.4686,0.5792,0.6414,0.5701,0.6793,0.4,0.4,0.597,0.4,0.6743,0.4,0.4,0.4936,0.4,0.6421,0.4523,0.4344,0.6186,0.1699,0.5354,0.3109,0.4627,0.5606,0.5296,0.4966,0.5514,0.6126,0.3525,0.3972,0.6231,0.596,0.5883,0.6388,0.5407,0.5897,0.4985,0.6409,0.5872,0.7439,0.5885,0.4363,0.4739,0.5921,0.458,0.4,0.4455,0.5887,0.4293,0.441,0.5412,0.4,0.6239,0.2418,0.5168,0.4,0.469,0.4,0.5316,0.4
